kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00204.01,CONFIRMED,3.246732,133.378350,3.025800,6855.000000,0.000000,0.285000,9305831
K00205.01,CANDIDATE,11.720119,142.173410,2.942500,9698.000000,0.000000,0.514000,7046804
K00206.01,CANDIDATE,5.334087,131.980710,6.408600,4728.000000,0.000000,0.513700,5728139
K00208.01,CANDIDATE,3.003875,134.710410,4.198100,9116.000000,0.000000,0.871300,3762468
K00209.01,CONFIRMED,50.790563,135.630350,10.950000,5723.000000,0.000000,0.405600,10723750
K00209.02,CONFIRMED,18.795909,145.820850,7.242700,2403.000000,0.000000,0.512500,10723750
K00210.01,FALSE POSITIVE,20.927359,139.325100,3.354700,8400.000000,0.000000,1.010000,10602291
K00211.01,CANDIDATE,124.036110,136.013980,4.837900,7828.000000,0.000000,0.000000,10656508
K00212.01,CANDIDATE,5.695901,139.230860,3.576200,4884.000000,0.000000,0.030000,6300348
K00213.01,FALSE POSITIVE,48.118817,170.838820,4.992700,72407.000000,0.000000,1.290000,9164836
K00214.01,CANDIDATE,3.311863,131.742070,1.230900,5350.000000,0.000000,0.660000,11046458
K00215.01,FALSE POSITIVE,42.943895,155.205510,3.819800,9610.000000,0.000000,1.250000,12508335
K00216.01,CONFIRMED,20.172011,141.208730,3.281700,5243.000000,0.000000,0.690000,6152974
K00216.02,CONFIRMED,7.518660,132.523300,2.928300,278.000000,0.000000,0.028500,6152974
K00217.01,CONFIRMED,3.905081,133.414315,2.841500,21448.000000,0.000000,0.022400,9595827
K00218.01,FALSE POSITIVE,18.692859,143.832450,4.086700,59632.000000,0.000000,0.029000,9838975
K00219.01,CANDIDATE,8.025104,132.468650,5.743700,3125.000000,0.000000,0.774500,6305192
K00220.01,CONFIRMED,2.422080,132.939890,2.625900,1869.000000,0.000000,0.575000,7132798
K00220.02,CONFIRMED,4.125020,133.647700,3.033800,110.000000,0.000000,0.556000,7132798
K00221.01,CANDIDATE,3.413035,132.442370,2.642400,3894.000000,0.000000,0.474000,3937519
K00221.02,CANDIDATE,5.896860,134.006000,3.374300,96.000000,0.000000,0.020000,3937519
K00222.01,CONFIRMED,6.312504,132.654900,2.817500,1258.000000,0.000000,0.720000,4249725
K00222.02,CONFIRMED,12.794594,130.765100,3.501100,839.000000,0.000000,0.720000,4249725
K00223.01,CONFIRMED,3.177427,134.476790,1.524900,1163.000000,0.000000,0.780000,4545187
K00223.02,CONFIRMED,41.008120,147.034000,4.015500,1015.000000,0.000000,0.690000,4545187
K00224.01,FALSE POSITIVE,3.979867,132.069800,1.805500,1249.000000,0.000000,1.000000,5547480
K00225.01,CANDIDATE,0.838598,141.537080,1.709800,2543.000000,0.000000,1.382000,5801571
K00226.01,CANDIDATE,8.308485,138.114200,3.254300,825.000000,0.000000,0.790000,5959753
K00227.01,CANDIDATE,17.660113,136.572580,3.331700,1887.000000,0.000000,0.700000,6185476
K00229.01,FALSE POSITIVE,3.573210,134.932990,2.894200,2934.000000,0.000000,0.260000,3847907
K00230.01,FALSE POSITIVE,4.702497,136.307580,1.943200,4746.000000,0.000000,1.010000,3862246
K00231.01,FALSE POSITIVE,119.839960,161.863400,3.644700,5839.000000,0.000000,1.300000,4043443
K00232.01,CONFIRMED,12.466071,133.998720,5.052200,2211.000000,0.000000,0.482000,4833421
K00232.02,CONFIRMED,5.766148,134.017400,3.868600,375.000000,0.000000,0.445000,4833421
K00232.03,CONFIRMED,21.587380,142.978300,4.755100,305.000000,0.000000,0.712000,4833421
K00232.04,CONFIRMED,37.994410,163.005500,6.792600,340.000000,0.000000,0.545000,4833421
K00232.05,CONFIRMED,56.256960,164.226300,8.138800,326.000000,0.000000,0.467000,4833421
K00233.01,FALSE POSITIVE,1.824646,147.482800,2.935100,5944.000000,0.000000,1.170000,5023956
K00234.01,CANDIDATE,9.613716,132.186500,4.563600,786.000000,0.000000,0.070000,8491277
K00235.01,CANDIDATE,5.632566,133.814100,2.179600,688.000000,0.000000,0.600000,8107225
K00236.01,FALSE POSITIVE,5.776741,143.097400,5.023300,3663.000000,0.000000,1.210000,8453211
K00237.01,CANDIDATE,8.508355,134.785000,3.514800,625.000000,0.000000,0.720000,8041216
K00238.01,CONFIRMED,17.232290,135.091700,4.511100,509.000000,0.000000,0.670000,7219825
K00238.02,CONFIRMED,26.693760,144.014900,4.182700,147.000000,0.000000,0.800000,7219825
K00238.03,CANDIDATE,362.994790,256.492600,14.940000,242.600000,0.230000,0.300000,7219825
K00239.01,CANDIDATE,5.640662,138.557070,2.938900,1287.000000,0.000000,0.760000,6383785
K00239.02,CANDIDATE,3.622714,133.000300,2.436300,145.000000,0.000000,0.750000,6383785
K00240.01,CANDIDATE,4.286859,138.614520,4.646800,1333.000000,0.000000,0.830300,8026752
K00241.01,CONFIRMED,13.821387,131.793400,3.606700,785.000000,0.000000,0.720000,11288051
K00241.02,CONFIRMED,30.950530,153.840800,4.438400,292.000000,0.000000,0.750000,11288051
K00241.03,CONFIRMED,3.410505,131.572700,2.340900,142.000000,0.000000,0.670000,11288051
K00242.01,CANDIDATE,7.258466,138.343490,5.727600,3646.000000,0.000000,0.126000,3642741
K00243.01,FALSE POSITIVE,2.637574,134.212310,4.280900,5647.000000,0.000000,1.290000,9592579
K00244.01,CONFIRMED,12.720365,178.527410,2.826000,1172.000000,0.000000,0.860000,4349452
K00244.02,CONFIRMED,6.238559,171.704590,3.545400,398.000000,0.000000,0.440000,4349452
K00245.01,CONFIRMED,39.792232,175.249350,4.571700,609.000000,0.000000,0.732000,8478994
K00245.02,CONFIRMED,21.302000,191.837400,3.795600,94.000000,0.000000,0.694000,8478994
K00245.03,CONFIRMED,13.367440,184.044300,2.914200,15.000000,0.000000,0.759000,8478994
K00245.04,CONFIRMED,51.206900,195.730000,8.994000,27.000000,0.000000,0.020000,8478994
K00246.01,CONFIRMED,5.398766,173.857140,3.560900,333.000000,0.000000,0.812000,11295426
K00246.02,CONFIRMED,9.604869,136.385400,2.943500,55.000000,0.000000,0.916000,11295426
K00247.01,CANDIDATE,13.815058,181.124800,2.371600,1002.000000,0.000000,0.900000,11852982
K00248.01,CONFIRMED,7.203794,170.287500,2.976600,1799.000000,0.000000,0.910000,5364071
K00248.02,CONFIRMED,10.912935,169.849200,2.857700,1377.000000,0.000000,0.947000,5364071
K00248.03,CONFIRMED,2.576555,172.128400,1.873600,794.000000,0.000000,0.924000,5364071
K00248.04,CONFIRMED,18.596220,141.261700,2.890500,759.000000,0.000000,0.965000,5364071
K00249.01,CANDIDATE,9.549273,175.756750,1.605200,1666.000000,0.000000,0.030900,9390653
K00250.01,CONFIRMED,12.283078,170.396540,2.856300,2864.000000,0.000000,0.475000,9757613
K00250.02,CONFIRMED,17.251048,149.889100,2.191100,1936.000000,0.000000,0.828000,9757613
K00250.03,CONFIRMED,3.543867,136.263000,2.054900,410.000000,0.000000,0.026500,9757613
K00250.04,CONFIRMED,46.827870,136.742900,2.364700,1597.000000,0.000000,0.922000,9757613
K00251.01,CONFIRMED,4.164388,171.087130,1.853900,2261.000000,0.000000,0.680000,10489206
K00251.02,CONFIRMED,5.774470,132.960400,1.988900,228.000000,0.000000,0.660000,10489206
K00252.01,CANDIDATE,17.604437,170.501200,3.679400,2218.000000,0.000000,0.590000,11187837
K00253.01,CANDIDATE,6.383170,170.602990,1.794100,1720.000000,0.000000,0.730000,11752906
K00253.02,CANDIDATE,20.618670,145.505700,3.205400,491.000000,0.000000,0.480000,11752906
K00254.01,CONFIRMED,2.455241,170.821008,1.723400,37408.000000,0.000000,0.026000,5794240
K00255.01,CANDIDATE,27.521732,189.825600,4.046800,2398.000000,0.000000,0.260000,7021681
K00255.02,CANDIDATE,13.603303,140.396250,3.202000,187.100000,0.082000,0.700000,7021681
K00256.01,CANDIDATE,1.378679,169.774000,1.852000,26406.000000,0.000000,1.230000,11548140
K00257.01,CANDIDATE,6.883403,172.661320,2.079700,504.000000,0.000000,0.022500,5514383
